2015 Honda Civic LX,"Price: $9,980$165/mo est.","25,704",Black,Sedan
2008 Acura TL,"Price: $5,999$99/mo est.","140,797",Black,Sedan
2016 Hyundai Elantra Value Edition,"Location: Hempstead, NY (18 miles from Brooklyn, NY)","40,172",Black,Sedan
2011 BMW 3 Series 328i xDrive,"Price: $7,895$131/mo est.","103,631",White,Sedan
2006 Maserati Quattroporte,"Price: $13,990$232/mo est.","29,415",Red,Sedan
2015 BMW X1 xDrive28i,"Price: $12,985$215/mo est.","53,450",Silver,SUV
2016 Ford Fusion SE,"Price: $10,490$174/mo est.","24,525",Black,Sedan
2015 Jeep Grand Cherokee Limited Edition,"Location: Great Neck, NY (15 miles from Brooklyn, NY)","29,440",Gray,SUV
2015 Acura TLX Technology,"Price: $13,890$230/mo est.","47,838",Black,Sedan
2010 Lexus ES 350,"Price: $7,399$123/mo est.","160,522",Gray,Sedan
2014 Chevrolet Equinox LT LT1,"Price: $7,995$133/mo est.","111,927",Black,SUV
2016 Nissan Rogue SV,"Price: $12,739$211/mo est.","36,552",Black,SUV
2015 Mercedes-Benz CLA 250,"Price: $15,995$265/mo est.","19,051",Gray,Sedan
2015 Infiniti Q50 Premium,"Price: $13,485$224/mo est.","52,417",Black,Sedan
2018 Nissan Sentra SV,"Price: $10,990$182/mo est.","6,181",Black,Sedan
2012 Jeep Grand Cherokee Laredo,"Price: $11,995$199/mo est.","99,989",Black,SUV
2015 Honda CR-V EXL,"Location: Hempstead, NY (18 miles from Brooklyn, NY)","48,619",Silver,SUV
2016 Lexus IS 300 F Sport,"Price: $21,800$361/mo est.","32,751",Black,Sedan
2015 Nissan Rogue S,"Location: Hempstead, NY (18 miles from Brooklyn, NY)","26,056",White,SUV
2016 Audi A6 Premium Plus,"Price: $18,495$307/mo est.","42,948",Blue,Sedan
2015 Toyota RAV4 LE,"Price: $13,480$223/mo est.","31,864",Gray,SUV
2016 Honda Civic LX,"Location: Hempstead, NY (18 miles from Brooklyn, NY)","25,982",Black,Sedan
2016 Mercedes-Benz GLE 350,"Price: $26,888$446/mo est.","45,710",Gray,SUV
2016 BMW X6 xDrive35i,"Price: $35,995$597/mo est.","25,379",Black,SUV
2015 BMW 4 Series 428i xDrive,"Price: $18,990$315/mo est.","27,752",Red,Coupe
2015 Honda Civic LX,"Price: $9,980$165/mo est.","25,704",Black,Sedan
2008 Acura TL,"Price: $5,999$99/mo est.","140,797",Black,Sedan
2016 Hyundai Elantra Value Edition,"Location: Hempstead, NY (18 miles from Brooklyn, NY)","40,172",Black,Sedan
2011 BMW 3 Series 328i xDrive,"Price: $7,895$131/mo est.","103,631",White,Sedan
2006 Maserati Quattroporte,"Price: $13,990$232/mo est.","29,415",Red,Sedan
2015 BMW X1 xDrive28i,"Price: $12,985$215/mo est.","53,450",Silver,SUV
2016 Ford Fusion SE,"Price: $10,490$174/mo est.","24,525",Black,Sedan
2015 Jeep Grand Cherokee Limited Edition,"Location: Great Neck, NY (15 miles from Brooklyn, NY)","29,440",Gray,SUV
2015 Acura TLX Technology,"Price: $13,890$230/mo est.","47,838",Black,Sedan
2010 Lexus ES 350,"Price: $7,399$123/mo est.","160,522",Gray,Sedan
2014 Chevrolet Equinox LT LT1,"Price: $7,995$133/mo est.","111,927",Black,SUV
2016 Nissan Rogue SV,"Price: $12,739$211/mo est.","36,552",Black,SUV
2015 Mercedes-Benz CLA 250,"Price: $15,995$265/mo est.","19,051",Gray,Sedan
2015 Infiniti Q50 Premium,"Price: $13,485$224/mo est.","52,417",Black,Sedan
2018 Nissan Sentra SV,"Price: $10,990$182/mo est.","6,181",Black,Sedan
2012 Jeep Grand Cherokee Laredo,"Price: $11,995$199/mo est.","99,989",Black,SUV
2015 Honda CR-V EXL,"Location: Hempstead, NY (18 miles from Brooklyn, NY)","48,619",Silver,SUV
2016 Lexus IS 300 F Sport,"Price: $21,800$361/mo est.","32,751",Black,Sedan
2015 Nissan Rogue S,"Location: Hempstead, NY (18 miles from Brooklyn, NY)","26,056",White,SUV
2016 Audi A6 Premium Plus,"Price: $18,495$307/mo est.","42,948",Blue,Sedan
2015 Toyota RAV4 LE,"Price: $13,480$223/mo est.","31,864",Gray,SUV
2016 Honda Civic LX,"Location: Hempstead, NY (18 miles from Brooklyn, NY)","25,982",Black,Sedan
2016 Mercedes-Benz GLE 350,"Price: $26,888$446/mo est.","45,710",Gray,SUV
2016 BMW X6 xDrive35i,"Price: $35,995$597/mo est.","25,379",Black,SUV
2015 BMW 4 Series 428i xDrive,"Price: $18,990$315/mo est.","27,752",Red,Coupe
2015 Honda Civic LX,"Price: $9,980$165/mo est.","25,704",Black,Sedan
2008 Acura TL,"Price: $5,999$99/mo est.","140,797",Black,Sedan
2016 Hyundai Elantra Value Edition,"Location: Hempstead, NY (18 miles from Brooklyn, NY)","40,172",Black,Sedan
2011 BMW 3 Series 328i xDrive,"Price: $7,895$131/mo est.","103,631",White,Sedan
